id;sentence;phrase;target
0;доченька твоя совсем большая стала;дочь;доченька
1;вся дорога забита деревьями и цветами;дерево;деревьями
2;в следующее воскресенье я собираюсь в питер;санкт петербург;питер
3;у меня сломалась стиралка прикинь;стиральная машина;стиралка
4;ты возьми корзину прежде чем набрать продукты;звонить;
5;Мама приготовила вкусный ужин.;еда;ужин
6;Я купил новый автомобиль вчера.;машина;автомобиль
7;На улице сегодня очень холодно.;жара;
8;Он посмотрел интересный фильм.;кино;фильм
9;Котёнок игриво прыгал по комнате.;кошка;котёнок
10;Собака громко лаяла на прохожего.;пёс;собака
11;В лесу много грибов и ягод.;гриб;грибов
12;Поехали на море в отпуск.;океан;море
13;Ребёнок сладко спал в кроватке.;дитя;ребёнок
14;Он получил отличное образование.;учёба;образование
15;Компьютер завис во время работы.;ноутбук;компьютер
16;Девушка читала увлекательную книгу.;роман;книгу
17;Музыкант играл на гитаре.;инструмент;гитаре
18;Врач осмотрел пациента.;доктор;врач
19;Стройка нового дома идет полным ходом.;здание;дома
20;Повар приготовил изумительный десерт.;сладкое;десерт
21;Погода сегодня просто замечательная.;здание;
22;Спортсмен выиграл золотую медаль.;атлет;спортсмен
23;Учитель объяснял новую тему.;педагог;учитель
24;Самолёт приземлился в аэропорту.;воздушное судно;самолёт
25;Мы посадили цветы в саду.;растения;цветы
26;Художник нарисовал прекрасный пейзаж.;картина;пейзаж
27;В магазине большой выбор одежды.;наряд;одежды
28;Он написал длинное письмо другу.;сообщение;письмо
29;Река течёт быстро и шумно.;поток;река
30;Солнце ярко светило на небе.;звезда;солнце
31;Город был окутан туманом.;мегаполис;город
32;Он чувствовал сильную боль в ноге.;недомогание;боль
33;Мой брат очень умный человек.;родственник;брат
34;Эта задача кажется очень сложной.;проблема;задача
35;Дети весело играли на площадке.;ребята;дети
36;Я выпил чашку горячего чая.;напиток;чая
37;Завтра я пойду в кино с друзьями.;театр;
38;Он работает программистом в крупной компании.;разработчик;программистом
39;Бабушка испекла вкусные пирожки.;выпечка;пирожки
40;Мы ехали на поезде всю ночь.;транспорт;поезде
41;В этом лесу водятся дикие звери.;животные;звери
42;Он купил билеты на концерт любимой группы.;выступление;концерт
43;Эта мелодия звучит очень красиво.;музыка;мелодия
44;Посмотри на эти чудесные облака.;гора;
45;Она носит элегантное платье.;одеяние;платье
46;Фермер выращивает пшеницу на поле.;зерно;пшеницу
47;Океан скрывает множество тайн.;большая вода;океан
48;Президент выступил с важным заявлением.;глава государства;президент
49;В парке много зелёных деревьев.;растение;деревьев
50;Этот суп очень горячий, будь осторожен.;блюдо;суп
51;Ученик быстро решил задачу по математике.;школьник;ученик
52;На столе стояла ваза с цветами.;сосуд;ваза
53;Капитан отдал приказ экипажу корабля.;судно;корабля
54;В горах выпало много снега.;осадки;снега
55;Он почувствовал внезапный страх.;боязнь;страх
56;Мой телефон разрядился в самый неподходящий момент.;смартфон;телефон
57;Эта новость вызвала большой интерес.;известие;новость
58;Водитель аккуратно вел автобус.;шофёр;водитель
59;Солдат проявил храбрость в бою.;воин;солдат
60;Цена на этот товар слишком высокая.;стоимость;цена
61;Здание университета выглядит очень старым.;сооружение;здание
62;Эта книга содержит полезную информацию.;сведения;информацию
63;Ветер сильно дул весь день.;погодное явление;ветер
64;Я люблю пить кофе по утрам.;бодрящий напиток;кофе
65;В городе построили новый мост через реку.;переправа;мост
66;Его ответ был очень точным.;вопрос;
67;Дети смеялись над забавной историей.;рассказ;историей
68;Огонь в камине создавал уют.;пламя;огонь
69;Он получил письмо от старого друга.;корреспонденция;письмо
70;Эта работа требует большого терпения.;труд;работа
71;Птицы пели свои утренние песни.;пернатые;птицы
72;Дорога была покрыта льдом.;путь;дорога
73;В комнате было очень тихо.;шумно;
74;Он испытал огромное счастье.;радость;счастье
75;Мне нужен совет по этому вопросу.;рекомендация;совет
76;Звезда ярко сияла на ночном небе.;небесное тело;звезда
77;Вода в озере была кристально чистой.;водоём;озере
78;Этот фильм оставил глубокое впечатление.;кинолента;фильм
79;Его слова прозвучали очень убедительно.;речь;слова
80;Медсестра сделала укол пациенту.;медицинский работник;медсестра
81;Я купил свежий хлеб в булочной.;продукт питания;хлеб
82;Машина быстро ехала по шоссе.;авто;машина
83;Сегодня прекрасный денёк для прогулки.;ночь;
84;На поляне расцвели красивые цветы.;луг;поляне
85;Он рассказал смешной анекдот.;шутка;анекдот
86;Море было спокойным и тёплым.;большая вода;море
87;Я отправил посылку по почте.;бандероль;посылку
88;Этот инструмент издает приятный звук.;музыкальный предмет;инструмент
