id;sentence;phrase;target
1;доченька твоя совсем большая стала;дочь;доченька
2;вся дорога забита деревьями и цветами;дерево;деревьями
3;в следующее воскресенье я собираюсь в питер;санкт петербург;питер
4;у меня сломалась стиралка прикинь;стиральная машина;стиралка
5;садись в машину и поехали уже;автомобиль;машину
6;сколько стоит ремонт стиральной машины;автомобиль;null
7;ты когда собираешься звонить преподу;учитель;преподу
8;возьмешь пистолет в тумбочке понял меня;оружие;пистолет
9;ты не мог бы набрать меня после обеда;звонить;набрать
10;ты возьми корзину прежде чем набрать продукты;звонить;null
11;его сегодня утром отвезли в ближайший госпиталь;больница;госпиталь
12;в этому году смартфоны подорожают на 30 процентов;телефон;смартфоны
13;я еще долгу не смогу вернуться в рф;россия;рф
14;мужчина средних лет с серым рюкзаком и шапкой;портфель;рюкзаком
15;в какой университет собирается поступать твой сын;институт;университет
16;он вообще не собирается переезжать в другое государство;страна;государство
17;сегодня ночью наше судно отплывает по расписанию;корабль;судно
18;его оригинальный портрет выставлен на продажу;подлинная картина;оригинальный портрет
